,	0.007827221	-0.030205667	-0.050294816	-0.028251924	0.06562205	-0.0026401728	-0.07843381	0.027604733	-0.08444128	-0.018053204	-0.0068010474	0.100990094	-0.02748844	-0.036345482	0.037502706	-0.061736584	-0.06480731	0.040122807	-0.13616182	-0.0012567937	-0.021331549	-0.0021543205	0.1076321	-0.08803612	0.0012695789	-0.063966475	0.028832436	-0.0052298605	0.05091992	0.0065414608	0.022375824	-0.010477796	-0.0036790445	0.0022210088	-0.028437078	-0.05402653	0.046972632	-0.011455166	-0.046151213	0.0065618902	-0.023110747	-0.027330117	-0.12567003	0.06267836	-0.04412491	0.015837846	0.024389356	-0.027279228	-0.08106052	-0.040694915
the	0.042986736	0.11279245	-0.1958768	0.076677255	0.07326089	-0.18158868	-0.055069864	0.114015	0.12796731	0.060914338	0.15486722	0.061824497	0.030497536	0.06045334	0.053809732	0.09152411	-0.0316583	0.05234641	-0.05158864	0.047762364	0.0037418306	0.06011477	-0.08863884	-0.04295206	0.07476351	0.04099054	0.04876159	-0.062270984	0.10123764	-0.031331122	-0.018909661	0.055316567	0.011799164	-0.037846074	-0.09674786	0.028386533	0.08033916	0.17899649	-0.004609175	0.020525768	0.02157246	-0.06355863	-0.015024319	0.036060587	-0.020849641	-0.12438677	0.04474257	-0.03877577	-0.07788573	0.09648611
.	0.0043095946	0.061052307	0.04284197	-0.02577476	-0.0035286993	-0.032915995	0.051170677	-0.07800234	-0.03108716	0.098752186	-0.10719685	0.048498236	0.05901648	0.023114681	-0.027561694	-0.10174359	-0.08828911	-0.12532675	-0.03051842	-0.024455994	-0.04809749	0.048665352	0.16200128	0.019881725	-0.046281293	0.04818613	0.11685812	-0.09106247	-0.001609087	-0.031297028	-0.027274314	-0.038081706	0.0078544915	0.08140142	-0.021981273	0.0657658	0.06759471	-0.014803074	0.0077704936	-0.0031488985	0.14633217	0.005356025	0.039075762	0.05093317	0.08459826	-0.050665893	0.071863174	0.04708025	-0.061659187	-0.037699945
and	0.012303963	0.05467768	-0.14751214	-0.097155854	0.05494903	0.053128578	0.019390523	0.017036766	0.039651822	0.048753783	-0.06103556	-0.03117001	-0.019716531	-0.03063295	-0.041985165	0.02387441	-0.07019083	0.09465865	0.06974871	0.025753707	0.06649175	-0.07079229	0.08118242	-0.0952715	0.073940426	0.03997045	-0.11110703	-0.118048936	-0.05426769	-0.015725598	0.011177452	0.02704835	0.093560204	0.049086716	0.04707055	0.023664892	-0.017228205	-0.0067481846	0.048550732	0.020122103	-0.06202511	0.0736365	0.03937742	-0.029471945	-0.11302179	-0.03536431	0.05098013	0.0073673204	0.023372203	0.15030365
to	0.07561056	-0.028757416	-0.087129146	-0.040639196	0.044730008	-0.054342214	0.055720955	0.114466466	0.10463853	-0.032280937	0.010127693	0.16130449	0.07170798	0.03368056	-0.00022510439	-0.0067558438	-0.1380502	-0.17733607	-0.0055653825	-0.056228727	0.01420626	0.019472279	-0.03739834	-0.015764564	-0.14493087	-0.015805706	0.014583662	-0.034022108	0.074862555	-0.025923193	-0.018717699	0.021187663	0.057576697	-0.016147204	-0.020627245	-0.044215277	-0.18043286	0.014093601	-0.04497558	-0.09995835	0.04058259	0.022783004	-0.0330507	0.0304131	-0.039158244	-0.032383237	-0.0025218353	0.106605895	-0.09371083	-0.04187718
-	0.02109702	-0.015907176	-0.21077882	-0.038697623	-0.04528816	-0.06823231	-0.06722811	-0.075143985	-0.13650294	0.08111322	-0.11593996	0.06381771	0.1482743	0.055988066	-0.13453257	-0.19713472	0.11393495	-0.14502746	0.064386204	-0.13913223	0.04146406	0.21697451	0.021646023	-0.17187494	-0.12140474	0.010752853	0.17316467	-0.089132056	0.059433512	-0.19987914	-0.10495729	0.16599123	0.06848045	-0.18180059	0.068794414	-0.1325687	0.3389101	0.06178707	-0.07381144	-0.039938256	0.12018933	-0.038612895	0.056115463	-0.011278212	-0.04705899	-0.12073403	0.064879164	0.07387809	0.058326796	-0.11879142
a	-0.030548036	0.08357588	-0.17227441	0.03419505	0.060726188	-0.06104639	-0.07336706	0.0788801	-0.09518215	-0.062226072	-0.16692588	0.0027041286	-0.08913538	-0.016618088	-0.0031021237	-0.12672745	-0.007238835	0.014487132	-0.11397459	0.006610185	0.021192044	-0.06979862	0.1623286	0.0109317005	0.054480493	0.12626864	-0.09772906	-0.057846785	-0.07777671	0.06878029	0.08801872	-0.10525349	0.010678843	0.008824138	0.019248657	0.034013987	0.06686232	0.17634559	-0.043021657	0.012416065	-0.0150650665	-0.09636938	-0.114975914	0.051729545	-0.08872645	0.086635664	0.080904305	0.12464355	0.096806385	-0.11701991
it	0.08113903	0.013749406	-0.035366237	0.073945515	-0.0853608	0.04471404	-0.04568784	0.061790437	0.052112117	0.079863444	-0.1608437	0.009361163	0.025881141	0.18799406	-0.013996065	-0.103384666	-0.054400966	-0.075568974	0.034762397	-0.028858662	0.0515036	0.07472877	0.12769642	0.020133615	-0.10266562	0.004959561	0.017386138	0.032091826	-0.0016123503	-0.07309462	0.073359765	0.10243626	0.0077819675	0.035818633	0.05046033	-0.037490882	-0.011000164	-0.04516594	0.027372068	-0.01611504	-0.04679221	-0.0834	-0.022512928	0.13636641	0.057170022	-0.05685928	0.080709375	0.14642331	-0.03464377	0.038984008
she	-0.13806045	0.0832279	-0.093648046	-0.00732065	0.03022717	0.025751311	0.028053626	0.030333214	0.29449552	-0.0987023	-0.07529391	-0.030014992	0.021204948	0.07061243	0.026368216	-0.052440763	-0.070945695	-0.014162391	0.048548393	0.06575543	0.023608297	-0.015041526	0.1586389	0.12944824	0.058762297	-0.10216662	-0.12959464	0.04890445	0.11613688	0.099815175	0.08739127	-0.06265509	-0.02677954	-0.0023386255	0.055385426	0.06967008	-0.028263777	0.11629087	-0.064740665	0.08368042	-0.051056303	0.05707577	-0.00016272068	0.004208849	-0.038236853	0.0669443	-0.022625044	0.02733536	-0.05948747	-0.022576295
i	-0.010816902	-0.16433245	0.12365836	-0.02169592	-0.23423263	-0.12743157	0.0029145181	-0.015645444	-0.044190113	0.12542152	-0.122641675	0.13013998	0.19656776	0.13933331	-0.107812345	-0.04409592	0.23819718	-0.24098349	-0.09794897	-0.0058496594	-0.029351383	0.14090705	0.091085464	-0.064186186	-0.41333896	-0.058269147	0.3018251	0.012150854	-0.047941044	-0.4214518	-0.050721496	0.031488985	-0.16499247	0.08828189	0.003328681	-0.09116009	0.09409879	-0.1228019	-0.01817859	0.08241083	0.07758874	0.028382178	0.14085832	0.32829428	0.062603846	-0.17789194	0.087381765	0.13526967	-0.24303024	-0.18740943
