,	0.6213433	-0.6024656	0.6929519	-0.20907119	-0.14950253	-0.53235716	0.437957	0.39654523	0.888766	-0.76178217	-0.30575818	0.13727793	0.57667905	-0.51787704	-0.124795124	0.075361095	-0.87175167	0.084104896	0.0064571984	-0.1647448	0.08639594	-0.5972365	0.9988072	0.2837268	0.1327491	-0.98653543	1.3872381	-0.10745764	-0.29495132	0.17652492	0.547591	-0.009483684	0.26355794	0.47062594	-0.4547279	-0.11509	0.084267884	-0.8734144	-1.1165056	-1.2286572	0.1253855	-0.33074325	-0.4558306	0.66184515	0.37878248	-0.1523988	0.032606177	0.7753788	-0.41756245	-0.04209268
the	0.6327966	-0.5990089	0.6822489	-0.25185767	-0.16770203	-0.52132785	0.45887616	0.39668295	0.9851116	-0.6479404	-0.3624406	0.33993325	0.67662066	-0.6859782	-0.27805755	0.12275897	-0.8693415	0.1001748	0.047921937	0.005325623	0.05760066	-0.51816434	0.9546622	0.4144977	0.17375503	-0.843178	1.3660295	-0.22507095	-0.30980873	0.12418781	0.6389872	-0.017955609	0.23761791	0.4398367	-0.3475208	-0.15848711	0.16940792	-0.77408564	-1.2643696	-1.3420063	0.09772399	-0.34599632	-0.19446576	0.55566484	0.35330755	-0.013331502	-0.021028735	0.9316937	-0.63440144	0.0005461499
.	0.7404126	-0.51927394	0.7510981	-0.10601501	-0.114854306	-0.47422716	0.38287312	0.45242742	0.96363246	-0.69916296	-0.29921335	0.2855668	0.5634716	-0.45211717	-0.20408806	0.093033336	-0.7670541	-0.056315467	0.16562773	-0.047300138	0.04263901	-0.51575947	0.8620456	0.4036932	0.015948642	-0.9765487	1.3182588	-0.21324123	-0.27131116	0.13676395	0.5490633	-0.032585226	0.22180949	0.3726378	-0.30361778	-0.01876859	0.25186142	-0.7391616	-1.1015337	-1.2873144	0.24895059	-0.25764427	-0.28108132	0.6535743	0.37243396	-0.094778635	-0.11071063	0.84975106	-0.44819212	0.051527865
and	0.5689587	-0.5858618	0.6340721	-0.24485949	0.04077561	-0.42874983	0.49149552	0.40521702	0.8714801	-0.672101	-0.2893131	0.26885098	0.687043	-0.6552485	-0.24255785	0.041438706	-0.81899345	0.18394479	-0.00799123	-0.1631003	0.29226446	-0.47320217	0.89061797	0.23153615	0.17204836	-0.87011886	1.3622959	-0.17984624	-0.3549935	0.2747645	0.50374615	0.11120942	0.21610838	0.26053816	-0.43767914	-0.043665558	0.15576267	-0.7826139	-1.2158432	-1.186966	0.082651444	-0.33952832	-0.12198615	0.69377667	0.41944885	-0.01548156	0.018377703	0.7720494	-0.42261744	0.026029017
to	0.6005033	-0.62180734	0.5073948	-0.024712117	-0.15338862	-0.3963488	0.41852823	0.37846068	0.73343414	-0.7579227	-0.19862354	0.15275127	0.41278982	-0.5574682	-0.13025703	0.14608607	-0.82673025	-0.17408016	0.08844246	-0.22575074	0.18089384	-0.5736285	0.76775926	0.33540842	0.1011057	-0.920825	1.313998	-0.13239628	-0.30364555	0.2237017	0.5683477	0.11658462	0.14143395	0.42785925	-0.3921029	0.00380449	0.08387473	-0.85863256	-1.0495485	-1.0306369	0.2682821	-0.25228298	-0.23789647	0.66509646	0.36415082	-0.1882971	-0.086199135	0.79923266	-0.52878803	-0.036246195
-	0.5252611	-0.42929748	0.56287456	-0.22960433	-0.29204068	-0.44345778	0.40838656	0.20274466	0.7908088	-0.6162299	-0.38753468	0.38244742	0.71489686	-0.5864448	-0.14251566	-0.07964684	-0.60044795	-0.08643178	0.12692684	-0.11735906	0.20160632	-0.3227405	0.83152425	0.2910226	-0.09597968	-1.0041162	1.3904303	-0.24292307	-0.21773222	0.10490374	0.46599066	-0.14419141	0.044114858	0.28555527	-0.29389203	-0.21706055	0.3155592	-0.88490796	-1.1727401	-1.2798793	0.38871694	-0.1817781	-0.18255784	0.6784283	0.40956268	-0.39260155	0.047401235	0.8065911	-0.51095146	-0.085927166
a	0.45526636	-0.43192068	0.6286419	-0.078529105	-0.058340546	-0.57394	0.42688268	0.33487102	0.7882821	-0.83725035	-0.28972656	0.25906855	0.6576722	-0.63718086	-0.08760364	0.13290004	-0.7116145	-0.034142084	0.0184878	-0.17339481	0.12133415	-0.5864298	0.8927301	0.31014806	0.06641938	-0.72330403	1.3035649	-0.13517696	-0.3397986	0.1988816	0.5233319	0.081477255	0.23228484	0.27638862	-0.35676455	-0.110994786	0.13934828	-0.72912556	-1.3974559	-1.2305089	0.13367237	-0.38685897	-0.13714755	0.75429606	0.3564331	-0.07575514	-0.0028359112	0.7070531	-0.50918525	-0.03810543
it	0.5382989	-0.49921858	0.70111173	0.030248864	-0.1413366	-0.49592376	0.35748407	0.40764797	0.8823693	-0.57538086	-0.3418662	0.2576512	0.4681223	-0.46849936	-0.054461386	0.23932523	-0.7805008	-0.19549997	0.1555424	-0.10236288	0.15024337	-0.5977051	0.8289752	0.32533115	0.01745968	-0.91764987	1.2758192	-0.06063217	-0.22763169	0.2365817	0.42269123	0.035765953	0.24203189	0.4042639	-0.30208626	-0.05622439	0.15438698	-0.96231014	-1.1312743	-1.0720199	0.15987664	-0.29951212	-0.24574865	0.65661854	0.39456612	-0.08332873	-0.03220752	0.7793898	-0.42590386	-0.05949539
she	0.4940278	-0.5603444	0.6078114	0.034234613	0.13579777	-0.4003325	0.40733895	0.2897971	0.77950907	-0.7117989	-0.20360199	0.14780279	0.36717966	-0.53419614	-0.040093027	0.28483537	-0.95377225	0.065693475	-0.06497135	-0.14936675	0.39754272	-0.6200428	0.63304234	0.14591902	0.22602135	-0.94332206	1.1747189	-0.091945626	-0.3089666	0.2900226	0.48485535	0.07874605	0.29786536	0.39701074	-0.3114791	0.0030826684	0.028834209	-0.7406666	-1.2410328	-1.065932	0.08229975	-0.33230108	-0.14056832	0.6849117	0.34487525	-0.12454651	-0.06657067	0.57495457	-0.5770128	0.09295154
i	0.76031935	-0.30111864	0.6292914	-0.1005799	-0.3257112	-0.4660883	0.20348792	0.5188661	0.7891047	-0.63049966	-0.21722212	-0.004590437	0.4089781	-0.13820049	-0.020186462	0.02632856	-0.6098192	-0.30877042	0.19125432	6.809831e-05	0.111281745	-0.40019172	0.7148434	0.1956888	-0.11966894	-1.1380062	1.2851865	-0.10867874	-0.06840009	-0.07537581	0.5910754	-0.03671895	0.20081164	0.5272525	-0.13830018	-0.09512469	0.09553458	-0.83300203	-0.8360646	-1.0628561	0.46308497	-0.067601204	-0.39638162	0.73012716	0.47521025	-0.2764739	-0.025734812	0.6665026	-0.52439576	-0.06726464
